trip_id,stop_id,route_id,delay_sec
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,1179,05,0
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,1381,05,300
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,1031,05,300
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,321,05,0
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,1159,05,0
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,965,05,60
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,1163,05,0
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,728,05,0
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,377,05,120
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,1103,05,300
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,68,05,300
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,1210,05,300
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,1144,05,120
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,629,05,60
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,553,05,120
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,738,05,0
6446565-05_A_98_0506_15:45-SETP2025-05-L-Ma-J-V-38,825,05,0
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6101,76,60
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6010,76,60
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6082,76,120
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6050,76,0
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6166,76,60
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6186,76,120
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6176,76,300
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6093,76,0
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6067,76,0
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6027,76,60
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6036,76,0
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6057,76,120
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6072,76,0
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6059,76,0
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,6055,76,120
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,743,76,60
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,624,76,120
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,998,76,60
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,417,76,60
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,663,76,300
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,550,76,60
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,590,76,60
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,194,76,120
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,54,76,0
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,414,76,0
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,502,76,300
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,426,76,0
6105156-76_R_98_7602_15:48-PROJET2025-76-Semaine-89,1205,76,300
6412295-71_R_99_7102_16:18-PROJET2025-71-Semaine-80,1406,71,300
6412295-71_R_99_7102_16:18-PROJET2025-71-Semaine-80,1558,71,60
5838911-22_R_95_2204_17:17-PROJET2025-22-Semaine-20,21260,22,0
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,503,31,0
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,669,31,0
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,839,31,120
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,572,31,0
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,362,31,0
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,586,31,0
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,582,31,0
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,1369,31,60
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,1554,31,0
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,751,31,0
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,1556,31,0
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,1625,31,300
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,958,31,300
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,244,31,120
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,1085,31,120
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,150,31,60
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,598,31,120
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,1362,31,300
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,1491,31,300
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,1174,31,120
6462533-31_A_47_3101_15:02-PROJET2025-31-Semaine-08,882,31,60
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,2853,50,120
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,2743,50,300
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,2742,50,120
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,2876,50,300
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,2848,50,60
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,360,50,300
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,1132,50,0
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,682,50,0
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,951,50,60
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,667,50,300
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,2915,50,300
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,33,50,0
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,822,50,120
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,1314,50,300
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,2865,50,120
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,472,50,0
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,616,50,120
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,747,50,60
6472710-50_R_99_5002_15:45-PROJET2025-50-Semaine-08,183,50,0
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3076,NVN1,120
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3022,NVN1,60
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3309,NVN1,60
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3074,NVN1,120
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3122,NVN1,0
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3081,NVN1,0
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3086,NVN1,120
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3071,NVN1,300
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3027,NVN1,0
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3005,NVN1,300
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3217,NVN1,0
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3016,NVN1,300
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3083,NVN1,60
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3112,NVN1,0
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3233,NVN1,60
5673242-NVN1_A_48_NVN101_15:15-PROJET2024-NVence1-Semaine-15,3059,NVN1,120
